SUPPLIERID,COMPANYNAME,CONTACTNAME
1,"Exotic Liquids","Charlotte Cooper"
2,"New Orleans Cajun Delights","Shelley Burke"
3,"Grandma Kellys Homestead","Regina Murphy"
4,"Tokyo Traders","Yoshi Nagase"
5,"Cooperativa de Quesos Las Cabras","Antonio del Valle Saavedra"
6,"Mayumis","Mayumi Ohno"
7,"Pavlova, Ltd.","Ian Devling"
8,"Specialty Biscuits, Ltd.","Peter Wilson"
9,"PB Knäckebröd AB","Lars Peterson"
10,"Refrescos Americanas LTDA","Carlos Diaz"
11,"Heli Süßwaren GmbH & Co. KG","Petra Winkler"
12,"Plutzer Lebensmittelgroßmärkte AG","Martin Bein"
13,"Nord-Ost-Fisch Handelsgesellschaft mbH","Sven Petersen"
14,"Formaggi Fortini s.r.l.","Elio Rossi"
15,"Norske Meierier","Beate Vileid"
16,"Bigfoot Breweries","Cheryl Saylor"
17,"Svensk Sjöföda AB","Michael Björn"
18,"Aux joyeux ecclésiastiques","Guylène Nodier"
19,"New England Seafood Cannery","Robb Merchant"
20,"Leka Trading","Chandra Leka"
21,"Lyngbysild","Niels Petersen"
22,"Zaanse Snoepfabriek","Dirk Luchte"
23,"Karkki Oy","Anne Heikkonen"
24,"Gday, Mate","Wendy Mackenzie"
25,"Ma Maison","Jean-Guy Lauzon"
26,"Pasta Buttini s.r.l.","Giovanni Giudici"
27,"Escargots Nouveaux","Marie Delamare"
28,"Gai pâturage","Eliane Noz"
29,"Forêts dérables","Chantal Goulet"
